COUNTRYEVENTNAME,START/ENDDATENOTES,COWCCODE,STARTDAY,STARTMONTH,STARTYEAR,ENDDAY,ENDMONTH,ENDYEAR,DURATIONYRS,EVENT SUMMARY,"CIVFAT
(CIVFAT)",CIVFATLOW,CIVFATHIGH,AVGFAT,VICTIMGROUP,"VICTIMTYPE
(ethnic/religious, political, other)"
Iraq (Mosul Uprising),"""In March 1959, a group of disgruntled Free Officers, who came from conservative, well-known, Arab Sunni families and who opposed Qasim's increasing links with the communists, attempted a coup. Aware of the planned coup, Qasim had his communist allies mobilize 250,000 of their supporters in Mosul. The ill-planned coup attempt never really materialized and, in its aftermath, the communists massacred nationalists and some well-to-do Mosul families, leaving deep scars that proved to be very slow to heal."" (Library of Congress Country Study, Iraq, (http://lcweb2.loc.gov/frd/cs/cshome.html)).
""Qasim in an attempt to intimidate any potential coup had encouraged a Communist backed Peace Partisans rally in Mosul on March 6, 1959. Some 250,000 Peace Partisans and Communists thronged Mosul's streets by March 6, and although the rally passed peacefully, on March 7, skirmishes broke out among Communists and nationalists. This degenerated into a miniature civil war in the days following."" (https://en.wikipedia.org/wiki/1959_Mosul_uprising)
violence probably over by the end of the month - -code end on April 1, 1959",645,7,3,1959,1,4,1959,0,Government and local communist allies kills civilians in Mosul after Nationalist uprising.,"Estimate 50% of total were civilians killed by government.
""Kassem took four days to regain control of the city [Mosul]... The number of people killed exceeded 2,000, with many times that number injured..."" (Said K Aburish, Nasser: The Last Arab (New York: St. Martin's Press, 2004), p. 180).
""To teach the perpetrators [of the failed coup] a lesson, Qassem encouraged the communists to conduct a witch-hunt for the nationalist adversaries… In addition to disposing of all the officers who had staged the rebellion in Mosul, the communists killed many Arab nationalists who had supported them… In Mosul itself, a communist inspired mob indulged in a week-long orgy of rap, looting and summary trials, which culminated in the accused being machine gunned to death in front of cheering mobs."" (Con Coughlin, Saddam: His Rise and Fall (New York: Harper Collins, 2005), p. 26).  
""In the course of its duration hundreds, and some say thousands, were killed or executed."" (Haim Gerber, The Social Origins of the Modern Middle East (Boulder: Lynn Reinner, 1987), p. 142).","1,000","1,000","1,000",suspected political opponents,Political
Laos (Civil War-Communists),"The ""attempt to suppress the Pathet Lao… brought about open conflict when the 7,500 man Pathet Lao opened an offensive in the north, July 30-31 [1959]… The fighting died down after several months… [but fighting began again in 1960… The warring parties in Laos [signed a peace treaty] on February 22, 1973..."" (Clodfelter, pp. 684, 686).
""Toward the middle of July, 1959, the Pathet Lao launched its military offensive... from July 18 to July 31, the Pathet Lao concentrated their efforts on isolating Sam Neua province from the rest of Laos.. From August 30 through September.. the Pathet Lao resumed heavy localized attacks against Lao Army posts..."" (Martin E. Goldstein, American Policy Toward Laos (Fairleigh Dickinson Univ Press, 1973) p. 152)",812,30,7,1959,22,2,1973,14,Government kills civilians during effort to defeat leftist Pathet Lao insurgency. ,"Estimate roughly 70,000 total military dead [Lomperis cites 35,000 Hmong/Royal Lao] out of 200,000 - 250,000 total dead.  Estimate government responsible for 25-50% of remaining civilian dead [130,000 - 180,000] = 30,000 - 90,000
""The ground war in Laos was conducted on two different levels.  One was a war along a relatively defined line separating two zones of control throughout most of the country.  It was fought between regular Royal Lao Army and Pathet Lao units... The other was the secret war, a more implacable and ruthless conflict fought without quarter mainly in the mountains of northern Laos and often behind Pathet Lao lines, by the 'Secret Army' funded and directed by the CIA... Those who suffered most from the escalating conflict were populations living in the east of the country: overwhelmingly the highland minorities, Lao Thoeng and particularly Lao Sung (Mien as well as Hmong)... By the time a case fire was declared in early 1973, over 2 million tons of bombs had been dropped on the Pathet Lao Zone... The destruction was horrific.  Almost all 3,500 villages under Pathet Lao control had been partly or wholly destroyed.  Loss of life on both sides can only be guessed at.  But 200,000 dead [including 30,000 Hmong soldiers and civilians presumably killed by Pathet Lao]... would be a conservative estimate.  At one time or another as many as 750,000 people, a quarter of the entire population, had been driven from their homes."" (Martin Stuart-Fox, A History of Laos (Cambridge: Cambridge University Press, 1997), p. 139, 144).
""The estimated dead from all causes during the Laotian Civil War were 250,000."" (Clodfelter, p. 686)
""40,000 Hmong fighters [were] recruited by the CIA to halt the spread of communism in Laos as a sideshow to the Vietnam war. Almost half the fighters were killed, civilian casualties approached 50,000 and, by 1973, nearly half the Hmong population in Laos had been displaced. Thousands more died after the Americans withdrew two years later."" (Guardian, ""US pays debt at last to Vietnam war allies,"" August 24, 2004, p. 11). Hmong deaths during this phase of the war were killed by Pathet Lao, NOT BY GOVERNMENT forces.
30,000 Hmong ""soldiers and civilians died"" by 1974 (USA Today, 10-07-1998, p. 10A)
""20,000 Meo irregulars lost their lives, as did another 15,000 soldiers of the Royal Lao Army... Civilian casualties in Laos, despite the heavy bombing, were relatively light because most of it took place along the remote Ho Chi Minh Trail or in the Plain of Jars, whose population had been 'relocated.'"" (Timothy Lomperis, From People's War to People's Rule (Chapel Hill: University of North Carolina Press, 1996), p. 239).","30,000","90,000","60,000",Suspected supporters of Pathet Lao communist insurgency.,Political
Guinea (Sekou Toure - political repression),"Estimate worst abuses were over by 1980
""Guinea's quarter century as a Marxist, single-party state was a ruinous experiment headed by one of the continent's most prominent ""big men,"" Ahmed Sekou Toure. As with many of the leftover monuments built by fraternal communist parties, it is the ruin--of the economy and of a state--that remains.  In 1958, when French President Charles de Gaulle offered limited autonomy to its restive African colonies... Guinea became the only colony to reject France's proposal in favor of full independence.... Sekou Toure combined [foreign] forms of communism with his own reign of terror, in which his police and troops killed or jailed tens of thousands of real or perceived opponents and drove nearly a quarter of the country's 7 million people into exile."" (The Washington Post, ""Leader Keeps Tight Grip on Guinea,"" November 9, 2000, p. A22).
Sekou Toure's ""years in power, however, were marked by Guinea's economic paralysis and by bloody purges in reprisal for countless ""plots"" against his rule. The last massive reprisal was carried out in 1976 against the Fulani population of 1 million, the largest of Guinea's ethnic groups.  A plot to overthrow him, discovered in [April] 1960, was the beginning of Guinea's long period of government-inspired terror. Matters worsened after a November 1970 invasion force of about 300 Guinean soldiers landed in a night assault on Conakry from Guinea-Bissau, which was controlled at the time by Portugal. The Portuguese-backed invasion failed to topple Mr. Toure. Using as an excuse numerous ""plots"" he said were hatched in other countries, including France, the United States, the Soviet Union and China, Mr. Toure took firm control of the government, violently repressing even the mildest dissent and emasculating the trade unions, his own pre-independence power base. At least 10,000 people have been rounded up since 1970 and 2,800 have ""disappeared,"" according to the London-based human rights group Amnesty International in a 1982 report. ""Many are believed dead as a result of execution, torture, deliberate starvation and inhuman prison conditions,"" the organization reported."" (Washington Post, ""Guinea's Longtime President, Ahmed Sekou Toure, Dies,"" March 28, 1984, p. C7)
""Diplomats in West Africa who were generally critical of Mr. Toure said that in the late 1970's his regime ceased carrying out executions, torture and mass arrests."" (New York Times, ""AHMED SEKOU TOURE, A RADICAL HERO,"" March 28, 1984, p. A6)",438,.,4,1960,1,1,1980,20,Government suppresses political opposition,"""No one is sure how many people died in the purges - estimates range from 6,000 to 35,000 - but by Toure's death some 2 million people had fled the country"" (Associated Press Newswires, ""In West Africa, a fight brews over the memory of terror,"" December 28, 1998).
""In his arrival remarks, the pope hailed the president's ""courageous work"" in creating ""room for freedom"" after the brutal repression by President Sekou Toure, who ruled Guinea from its independence from France in 1958 to his death in 1985. More than 50,000 people were killed under the Marxist president's rule. Hundreds of thousands emigrated, and the Catholic Church was severely repressed, its property seized and its leading bishop jailed for nearly 10 years."" (Associated Press, ""Pope Praises Guinea's Move Away From Tyranny,"" February 24, 1992)
""Spurned by the West, Sekou Toure then looked to the East bloc for support in implementing his brand of revolutionary socialism. There followed nearly 20 years of repression as he tried to force Guineans to follow his political path. Tens of thousands were killed or imprisoned, or fled the country. An estimated 25 percent of the 5.5 million population now lives in exile."" (Christian Science Monitor, ""Sekou Toure's legacy to Guinea,"" April 2, 1984, p. 15).
""During President Toure's years in power, several coup attempts were crushed or foiled, while Guinea became notorious internationally for human-rights abuses. In October 1982, Amnesty International, the London-based human rights organization, named 78 political prisoners it believed had died and asked the Government to account for more than 2,800 others it said had disappeared."" (New York Times, ""EX-PREMIER SEIZES POWER IN GUINEA,"" July 5, 1985, p. A1).
""At least 10,000 people have been rounded up since 1970 and 2,800 have ""disappeared,"" according to the London-based human rights group Amnesty International in a 1982 report. ""Many are believed dead as a result of execution, torture, deliberate starvation and inhuman prison conditions,"" the organization reported."" (Washington Post, ""Guinea's Longtime President, Ahmed Sekou Toure, Dies,"" March 28, 1984, p. C7).
""Until a few days ago no foreign journalist had ever entered Guinea's prison at Camp Boiro, the place where President Ahmed Sekou Toure had locked up political opponents. There will probably never be an exact toll of the people who died here, but the figure is believed to run into the thousands."" (The New York Times, ""IN POST-COUP GUINEA, A JAIL IS THROWN OPEN,"" April 12, 1984, p. A1).","6,000","50,000","28,000",suspected political opponents,Political and Ethnic
Congo (Kasai),"Kasai secedes on August 8, 1960, the rebellion is crushed by December 30, 1961, but another uprising occurs in 1963 which is put down by March 1.
Inter-ethnic fighting between Luba (or Baluba) and Lulua tribes also kills thousands in 1959.  But no evidence of government involvement.",490,8,8,1960,1,3,1963,3,Government kills civilians during effort to defeat secessionist movement in Kasai province.,"Estimate 2,000 killed in 1960 and 3,000 in 1963 = 5,000.
""The massacre [which killed 44 civilians] was the bloodiest outbreak in the Congo since last August and September... Several thousand tribesmen were killed at that time."" (New York Times, ""44 SLAIN IN KASAI AS CONGO TROOPS FIRE ON CIVILIANS,"" March 3, 1961. p. 1).
UN Secretary General ""Charged that soldiers of the Congo Army had committed atrocities in the fighting in Kasai province...Reports received through the Red Cross showed that undisciplined Congolese soldier had engaged in slaughter not only of combatants but of defenseless civilians... [the Secretary General said] They involve the most flagrant violation of elementary human rights and have the characteristics of the crime of genocide..."" (New York Times, ""U.N. CHIEF SCORES LEADERS IN CONGO; CITES ATROCITIES,"" September 10, 1960, p. A1).
""An estimated 3,000 Baluba tribesmen have been killed [by central government force] during fighting that began in January [1963]… According to eyewitness accounts, government forces set fire to house after house… A trip to the area showed thousands of huts leveled.... Estimates of the dead run between 200 and 5,000 with several reliable sources setting the total at about 3,000.  Most of those killed apparently were villagers... The army and the rebels fought only one pitched battle."" (New York Times, ""CONGOLESE QUELL UPRISING IN KASAI,"" March 4, 1963. p. A2).
""Although Congolese units never made it to Katanga, their attack on Kasai in August 1960 led to a large-scale massacre of the Luba elements."" (Library of Congress Country Study, Zaire (http://lcweb2.loc.gov/frd/cs/cshome.html)).","5,000","5,000","5,000",supporters of secessionist movement in Kasai (Luba/Baluba),Ethnic
Iraq (Kurds),"Repression of Kurds is ongoing from 1961 until Iraqi forces withdraw from the region by the end of October 1991.  Since there is still serious fighting in October, code over on November 1.
""In early September 1961 the charismatic Kurdish leader Mustafah Barzani…openly revolted against Baghdad… (Kenneth Pollack Arabs at War (Lincoln: University of Nebraska Press, 2002),  p. 156).
""On September 11, 1961, Iraqi planes began bombardments on the Kurdish region following an ambush on a military convoy."" (https://en.wikipedia.org/wiki/Mustafa_Barzani)
""Operation Provide Comfort II began on 24 July 1991, the same day Provide Comfort ended. This operation was primarily military in nature, and its mission was to prevent Iraqi aggression against the Kurds. Partly as a result of Western commitment to the Kurds, Iraqi troops were withdrawn from the Kurdish regions in October 1991 and these areas assumed de facto independence."" https://en.wikipedia.org/wiki/Operation_Provide_Comfort
",645,11,9,1961,1,11,1991,30,"To suppress repeated rebellions for independent Kurdistan in northern Iraq, government engages in large-scale massacres. (Harff)","LOW: 30,000 in 1961-1970 and 50,000 in Anfal = 80,000
HIGH: 40,000 in 1961-1970 and 200,000 in Anfal = 240,000
""The 1961-1970 war… cost about 50,000 lives including 9,000 under arms."" (Clodfelter, p. 646).  Suggests 41,000 civilians dead.
""By HRW/Middle East's estimate, in the Anfal at least 50,000 and possibly as many as 100,000 persons, many women and children, were killed between February and September 1988.  Their deaths did not come in the heat of battle - as 'collateral damage'... Rather these Kurds were systematically put to death in large numbers by the order of the central Iraq government."" (Human Rights Watch/Middle East, Iraq’s Crime of Genocide: The Anfal Campaign against the Kurds (New Haven: Yale University Press, 1995), p. xvii).
""30,000 - 60,000 victims of politicide with communal victims"" from 1963-1975 and ""180,000 victims of politicide with communal victims"" from 1988-1991 (Barbara Harff, ""No Lessons Learned from the Holocaust? Assessing Risks of Genocide and Political Mass Murder since 1955,"" American Political Science Review, vol. 97, no. 1 (February 2003), p.60). TOTAL = 210,000 - 240,000.
""We shall never know the exact number who perished in the Anfal operations, but they probably accounted for 150,000 - 200,000 lives."" (David McDowall, A Modern History of the Kurds (London: I.B. Tauris, 1997), p. 359).
""the regime's forces acted with great brutality, slaughtering roughly 20,000 Kurds - many of them civilians.."" (Kenneth Pollack, The Threatening Storm: The Case for Invading Iraq (New York: Random House, 2002) , p. 51).","80,000","240,000","160,000",Suspected supporters of Kurdish insurgency.,Ethnic
Ethiopia (Eritrea Civil War),"""As early as September 1961 an armed movement in support of Eritrean independence had begun… Haile Selassie's army reacted ruthlessly to the rebellion - in one 4 month period, February-June 1967, 352 villages were destroyed and 946 civilians were killed, according to the ELF - but the guerrilla movement continued to prosper... The 1974 overthrow of Haile Selassie's ancient imperial dynasty... failed to change Ethiopia's attitude toward Eritrean autonomy... On may 28 [1991] the Tigreans [now allied to the Eritreans] ousted Mengistu and occupied Addis Ababa."" (Clodfelter, p. 612)",530,.,9,1961,28,5,1991,30,Government kills civilians during effort to suppress rebellion by Eritrean separatists.,"150,000 in war deaths + 30,000 - 50,000 in famine deaths = 180,000 - 200,000
""how many of the famine deaths can be attributed to the counter-insurgency methods of the Ethiopian government and other punitive measures implemented to the cost of rural people?  This question cannot be answered in anything but the crudest terms... between 225,000 and 317,000 deaths - rather more than half those caused by the famine - can be blamed on the government's human rights violations."" (Africa Watch, Evil Days: 30 Years of War and Famine in Ethiopia (New York: Human Rights Watch: 1991), p. 175-76).  Africa Watch notes that about 15 percent of the affected population lived in Eritrea, which suggests about 30,000 - 50,000 famine deaths in Eritrea alone.
""The most characteristic feature of the war has been the indiscriminate violence against civilians by the Ethiopian army and air force.  The army deliberately killed and wounded tens of thousands of civilians and the air force bombed civilians and civilian targets. It is not possible to produce an accurate estimate for the number of innocent people killed over the decades, but it undoubtedly exceeds 150,000 (leaving aside those killed by famine and the resettlement program).  The atrocities discussed in this report are but a fraction of the total number which occurred."" (Africa Watch, Evil Days: 30 Years of War and Famine in Ethiopia (New York: Human Rights Watch: 1991), p. 3).
""It is still unclear how many died in the 'total war' that Mengistu declared in August 1977 on Eritrean secessionists.  An estimate of 80,000 civilians and military personnel for 1978-1980 [only] includes victims of massive air raids that were used as reprisals but does not include those who must have died as a result of the government's subsequent systematic disruption of the traditional way of life."" (Yves Santamaria, “Afrocommunism: Ethiopia, Angola, and Mozambique,” in Stéphane Courtois, et. al, The Black Book of Communism: Crimes, Terror, Repression (Cambridge: Harvard University Press, 1999), p. 692).","180,000","200,000","190,000",Suspected supporters of Eritrean secessionist insurgency,Ethnic
Algeria (post independence retribution),"Dates from Harff (Barbara Harff, ""No Lessons Learned from the Holocaust? Assessing Risks of Genocide and Political Mass Murder since 1955,"" American Political Science Review, vol. 97, no. 1 (February 2003), p. 60).
""De Gaulle pronounced Algeria an independent country on July 3. The Provisional Executive, however, proclaimed July 5, the 132nd anniversary of the French entry into Algeria, as the day of national independence."" (https://en.wikipedia.org/wiki/Algerian_War#End_of_the_war)",615,3,7,1962,.,12,1962,0,"In the wake of independence from France, Algerian militants attack Europeans and Muslim civilians who collaborated with French colonial authorities. (Harff)","""The worst fratricidal horrors were reserved for those Muslims who, like the harkis, had continued to fight for France... harrowing stories came out of Algeria.  Hundreds died when put to work clearing minefields... Others were tortured atrociously... Many were put to death with their entire families, including young children... Estimates of the numbers of Algerians thus killed vary wildly between 30,000 and 150,000."" (Alistair Horne,  A Savage War of Peace: Algeria 1954-1962 (New York: Viking Press, 1977), pp. 537-538).
""9,000 - 30,000"" ""victims of politicide."" (Barbara Harff, ""No Lessons Learned from the Holocaust? Assessing Risks of Genocide and Political Mass Murder since 1955,"" American Political Science Review, vol. 97, no. 1 (February 2003), p.60).
""At the end of the war, the Harkis were in a critical position... They were deemed traitors by the FLN... between 55,000 and 75,000 of them were killed."" (Antoine Proust, ""The Algerian War in French Collective Memory,"" ""in War and Remembrance in the Twentieth Century, Jay Winter, Emmanuel Sivan, eds., (Cambridge: Cambridge University Press, 1999), p. 165).
""30,000 Algerians, from the 200,000 harkis who served with the French during the war, were massacred by the rebel victors."" (Clodfelter, p. 610).","30,000","150,000","90,000","Harkis, suspected supporters of French",Political
Yemen,"""On 26 September 1962 North Yemeni army officers mounted a revolutionary coup against the traditional government of Imam Muhammed al-Badr, triggering a civil war between revolutionary forces wishing to safeguard the newly declared republic and tribal forces hoping to restore the old order..."" (David M. Witty , ""A Regular Army in Counterinsurgency Operations: Egypt in North Yemen, 1962- 1967,"" The Journal of Military History, Vol. 65, No. 2. (April 2001), p. 402).
""In the north, meanwhile, Imam Ahmad died (of natural causes) in late September 1962, and his son, Muhammad al-Badr, became imam. Within a week, however, elements of the military, supported by a variety of political organizations (and quite possibly some foreign powers), attempted to assassinate the new imam and declared the foundation of the Yemen Arab Republic. The imam escaped into the northern highlands and began the traditional process of rallying the tribes to his cause. The new republic called upon Egypt for assistance; Egyptian troops and equipment arrived almost immediately to defend the new regime of 'Abd Allah al-Sallal....By late 1967 the NLF clearly had the upper hand; the British finally accepted the inevitable and arranged the transfer of sovereignty to the NLF on November 30, 1967. In North Yemen the conflict between the imam's royalist forces and the republicans had escalated into civil war. Participation, however, was not limited to the Yemenis: Saudi Arabia, Iran, and Jordan supported the royalists, whereas Egypt and the Soviet Union and other communist-bloc states supported the republicans. Britain and the United States, as well as the United Nations, also eventually became major players, even if only at the diplomatic level. By the late 1960s, however, the Yemenis decided that the only logical outcome of the conflict was a compromise, which would have as its most important side effect the departure of the various foreign forces. Accordingly, with the blessing of the two major foreign participants—Egypt and Saudi Arabia—the northern Yemenis agreed upon the Compromise of 1970, which established a republican government in which some major positions were assigned to members of the royalist faction."" (""Yemen."" Encyclopædia Britannica. 2006. Encyclopædia Britannica Online. 16 May 2006 <http://www.search.eb.com/eb/article-45274>)
""Peace was proclaimed on April 14, 1970."" (Clodfelter, p. 635).",678,26,9,1962,14,4,1970,8,"Government kills civilians during effort to defeat Royalist insurgency.
","Most estimates of Yemeni dead are between 40,000 and 100,000.  Estimate 50% are civilians intentionally killed = 20,000 - 50,000
""casualties are difficult to ascertain, but fatalities probably exceeded 50,000 and possibly numbered as high as 100,000."" (Clodfelter, p. 635)
""It is estimated that more than 100,000 people were killed in the war, most of them civilian."" (Jacob Bercovitch and Richard Jackson, International Conflict (Washington, D.C.: Congressional Quarterly Press, 1997), p. 112)
""Yemen has always had a turbulent history, including civil war in North Yemen in 1962 that killed 200,000 people."" (Toronto Star, ""Killing an Arabic dream The civil war in Yemen is destroying the region's experiment in democracy and unity,"" May 12, 1994, p. A23).
Egypt ""waged a sustained terror bombing campaign against Yemeni villages to prevent them from being used by the Royalists..."" (Kenneth Pollack, Arabs at War (Lincoln: University of Nebraska Press, 2002) p. 51)
""Egypt's brutality in dealing with the tribes was the ugliest aspect of the war... Frequent bombing of the countryside inhabited by uncommitted guerrillas was seen as a way to gain their support... in 1963 the Egyptians began destroying the agricultural lands and wells of tribes suspected of supporting the imam...Hundreds of non-combatants had been killed in the Egyptian attacks.... the number of Yemenis killed [context suggest total for the entire war] was around 40,000."" (David M. Witty , ""A Regular Army in Counterinsurgency Operations: Egypt in North Yemen, 1962- 1967,"" The Journal of Military History, Vol. 65, No. 2. (April 2001), p. 422, 432).","20,000","50,000","35,000",Suspected supporters of Royalist insurgency,Political
Iraq (political repression - Saddam),"""When Qasim was overthrown in February [9], 1963, the new Baathist leaders carried out a massive purge in which thousands of communists were executed for supporting the hated Qasim. Survivors fled to the relatively isolated mountainous regions of Kurdistan. This first Baathist rise to power was short-lived, however, and under Abd as Salam Arif (1963-66) and his brother, Abd ar Rahman Arif (1966-68), both ICP and Baath cadre members were suppressed, largely because of their close connections with the Communist Party of Egypt and, in turn, the Communist Party of the Soviet Union. Although the Baath hierarchy had earlier perceived the ICP as a Soviet arm ready to interfere in internal affairs, after the successful 1968 coup d'etat, Baath leaders joined ICP officials in calling for a reconciliation of their decade-long rivalry. This reconciliation was short-lived, however, and in May 1978 Baghdad announced the execution of twenty-one ICP members, allegedly for organizing party cells within the armed forces. Foreign observers contended that the executions, which took place long after the alleged crimes were committed, were calculated to show that the Baath would not tolerate communist penetration of the armed forces... Despite several decades of arrests, imprisonments, repression, assassinations, and exile, in the late 1980s the ICP remained a credible force and a constant threat to the Baath leadership."" (Library of Congress Country Study: Iraq (http://lcweb2.loc.gov/cgi-bin/query/r?frd/cstdy:@field(DOCID+iq0077)
Coalition Provisional Authority is established in May 2003.",645,9,2,1963,1,5,2003,40,Baath government represses political opponents.,"290,000 total ""missing."" 30,000 - 60,000 Shiite dead and 80,000 to 240,000 Kurdish dead in other episodes.  Subtracting average Kurdish and Shiite dead leaves 85,000
""Human Rights Watch estimates that as many as 290,000 Iraqis have been “disappeared” by the Iraqi government over the past two decades. Many of these “disappeared” are those whose remains are now being unearthed in mass graves all over Iraq."" (Human Rights Watch, ""The Mass Graves of al-Mahawil: The Truth Uncovered,"" Human Rights Watch Report, May 2003 (http://hrw.org/reports/2003/iraq0503/).
""Between 1979 and 1982, a catalogue of horror engulfed Awatif's extended family and lingered like a curse down through the years. A prosperous Shiite Muslim clan of doctors, engineers and students, the family was suspected of harboring pro-Iranian sympathies following Saddam Hussein's ascent to the presidency and the outbreak of war with Iran... At least 300,000 people are missing, according to human rights groups who fear that may be a conservative figure. They include people killed nearly 25 years ago and some who were dragged away in the night a day after the U.S. military breached Baghdad."" (Washington Post, ""Iraqis Learn Sad Fate of the Missing,"" April 21, 2003, p. A1) 
""No one really knows how many people were slaughtered by the Iraqi government over the past 35 years. It apparently killed its citizens on a huge scale, both systematically and indiscriminately. Human rights groups, which have tried to document the carnage for years, estimate that nearly 300,000 Iraqis are missing and were probably executed. Tens of thousands more, according to Iraqi opposition groups, may have been imprisoned and tortured... The executions took place through the late 1970's and 1980's, when Iraq's Arab neighbors and most Western governments considered Saddam Hussein an ally against the threat of Islamic militancy in Iran. They occurred, survivors and witnesses said, while American troops were still occupying much of southern Iraq, sometimes just on the outskirts of the killing fields, in the weeks after the Persian Gulf war in 1991. The government killed in purges aimed at specific political opposition groups, like the Communists, and it killed to suppress the political ambitions of the Shiite Muslim majority. It killed the relatives of dissidents, Muslim clerics and Christians whose loyalty was suspect. It killed Kurds, with bullets and poison gas, in a wholesale campaign meant to subdue an entire ethnic group. The killing continued through that decade and beyond, when much of the world shunned but tolerated the Iraqi leader."" (New York Times, ""AFTER THE WAR: MASS EXECUTIONS,"" June 1, 2003, p. A1).
""The Government of President Saddam Hussein of Iraq has executed at least 1,500 people in the last year mostly for political reasons, a former Dutch Foreign Minister has concluded in a report to be presented on Tuesday to the United Nations Human Rights Commission...His report paints a picture of persistent persecutions of the Kurds, of the Shiite tribes in the southern marshes and Turkomans and other ethnic or religious groups. It describes a relentless pursuit of all political critics or would-be critics. Among the instances of summary executions that he cited were the killings in October of 14 military officers and politicians who were accused of planning an attempt on President Hussein's life. In another instance he cited, 23 people were sentenced to death, among them three military officers charged with ""maneuvering"" against the Government. He received reports of the executions of army deserters, Islamic activists, Shiite tribe members and people connected with opposition groups that maintain offices in exile -- including nine people with ties to a group called the Iraqi National Council and seven people associated with another group, the Supreme Council for Islamic Revolution in Iraq"" (New York Times, ""1,500 Executions Cited for Iraq In Past Year, Mostly for Politics,"" April 14, 1998, p. A1).","85,000","85,000","85,000",suspected political opponents,Political
Rwanda,"""In 1961 some [Tutsi]… refugees began to attack Rwanda… After these incursions, Hutu officials led reprisal attacks on Tutsi still in the country… By 1967..  both the incursions and the attacks on Tutsi within Rwanda ended."" (Human Rights Watch, Leave None to Tell the Story: Genocide in Rwanda (New York: Human Rights Watch, 1999), p. 40).
""On December 21, 1963 a crisis was trigger for Rwanda when a band of about 5,000 Tutsi exiles... invaded Rwanda from Burundi... By 27 December the attack had been reportedly repulsed, but the level of tension had not decreased.  Bitter attacks were directed against the remaining Tutsi population in Rwanda... These massacres created an international problem that invoved the UN... The overthrow of the king in Burundi in November 1966 facilitated a final agreement in March 1967 whereby all Tutsi refugees could return to their homes after giving up their arms."" (Study of Crisis, p. 442)
Goma declaration is March 20, 1967
""The government's tactics, though horrific, proved effective at reducing the incidence of the the inyenzi attacks, which ended in 1967.  Overall, from 1959 to 1967, some 20000 Tutsi were killed. "" (Alan Kuperman, The Limits of Humanitarian Intervention: Genocide in Rwanda (Washington, D.C. Brookings Institution Press, 2001) p. 7).
Chronology: ""1967 Renewed massacres of Tutsi."" (Linda Melvern, Conspiracy to Murder: The Rwandan Genocide (New York: Verso 2004), p. 337.",517,21,12,1963,20,3,1967,4,Local Hutu officials orchestrate vengeance attacks against Tutsis following cross-border incursions by Tutsi rebels.  (Harff),"""By 1967 when both the incursions and the attacks on the Tutsi within Rwanda ended… some 20,000 Tutsi were killed."" (Human Rights Watch, Leave None to Tell the Story: Genocide in Rwanda (New York: Human Rights Watch, 1999), p. 40)
Tutsi invasion of December 1963 ""was quickly beaten back and the government used the occasion to launch a massive wave of repression in which an estimated 10,000 Tutsi were slaughtered between December 1963 and January 1964."" (Gerard Prunier, The Rwanda Crisis (New York: Columbia University Press, 1998), p. 56)
""12,000 - 20,000 politicide with communal victims"" from December 1963 to June 1964 (Barbara Harff, ""No Lessons Learned from the Holocaust? Assessing Risks of Genocide and Political Mass Murder since 1955,"" American Political Science Review, vol. 97, no. 1 (February 2003), p.60).","12,000","20,000","16,000",suspected supporters of Tutsi insurgents,Ethnic
