COUNTRY,META,COWCCODE,REGION,STARTYEAR,ENDYEAR,CIVFATLOW,CIVFATHIGH,AVGFAT,DESCRIPTION,SUMMARY,VICTIMGROUP,"VICTIMTYPE
(ethnic/religious, political, other)",NOTES,SOURCE
Philippines,Huks,840,East Asia and Pacific,1946,1954,1000,3000,2000,"From 1946 to 1954, the Philippine government killed thousands of civilians during counterinsurgency measures against the Huk communist rebellion of peasants. The “Hukbalahap (“People’s Anti-Japanese Army”) or Huks were originally a resistance army against Japanese occupation in Central Luzon. After World War II, suspicious of the Huk communist leadership, the pro-US Philippine government began persecuting the Huks. After the murder of communist leader Juan Feleo on August 24, 1946, the Huks retreated to the mountains and began a guerilla war against the government. Beginning in 1948, President Manuel Roxas escalated the counterinsurgency in his “mailed fist” policy: government troops charged into civilian homes, burned villages, slaughtered livestock, and killed suspected Huks, including women and children. The government’s indiscriminate retaliation of innocent civilians increased local support and Huk recruitment. As the Huk threat grew serious, the United States also approved special military assistance in June 1950. The rebellion was broken with the military efforts and reforms of President Ramon Magsaysay and ended in May 1954 with the surrender of Huk leader Luis Taruc. ",Government kills civilians during effort to defeat leftist Huk insurgency. ,suspected supporters of Huk insurgency,Political,,CSY
China,Taiwan,710,East Asia and Pacific,1947,1947,15000,30000,22500,"In 1947, the Nationalist Chinese Kuomintang troops massacred tens of thousands of native Taiwanese civilians during efforts to suppress a local uprising. On February 27, 1947, the government authorities' beating of a female illegal cigarette vendor sparked an uprising against the Kuomintang-led government which was violently suppressed. In March 1947, Kuomintang troops sent by Chiang Kai-Shek from mainland arrived and indiscriminately massacred native Taiwanese islanders for several days. The Kuomintang executed thousands of Taiwanese elite as potential communist sympathizers, particularly scholars, lawyers, doctors, and students. Known as the “2/28 incident,” the uprising was followed by forty years of martial law called the “White Terror,” in which thousands were imprisoned or executed for suspected communist activities.",Nationalist Chinese troops kill civilians during effort to suppress uprising by indigenous Taiwanese islanders.,Indigenous Taiwanese Islanders,Ethnic,Extraterritorial?,CSY
Czechoslovakia, Political Repression,315,Europe and Central Asia,1948,1963,11060,25000,18030,"Between 1948 and 1963, the communist government killed tens of thousands of suspected political opponents. The Communist Party of Czechoslovakia came to power on 25 February 1948, when President Edvard Beneš, ceding to communist pressure, accepted the resignations of noncommunist cabinet members and appointed a government dominated by communists. The subsequent communist government arrested, imprisoned, detained in labor camps, and executed thousands of noncommunists and political opponents, including pro-Western military officers and the clergy of the Roman Catholic Church. Persecution subsided in the early 1960's, with growing reform movements. ",Communist government represses suspected political opponents.,suspected political opponents,Political,,CSY
Myanmar (formerly Burma),Communist Insurgency / Political Repression,775,East Asia and Pacific,1948,1990,100000,100000,100000,"Between 1948 and 1990, the Burmese government killed an estimated hundred thousand of civilians during the conflict between the government and various communist insurgents. After Burma attained independence from Britain in January 1948, the new government immediately faced numerous different communist insurgent groups attempting to overthrow the government. While the largest were the Red Flag Communists and the White Flag Communists, there were various different groups simultaneously fighting the government, often aided by the Chinese. The fighting continued sporadically, killing many civilians. The communist insurgency died down in the 1980s, eventually becoming absorbed into the anti-government popular uprisings. ",Government kills civilians during effort to defeat communist CPB (Communist Party of Burma) insurgency, ,Political,Not sure about saying Burma vs. Myanmar + correct country code,CSY
South Korea,Civil Violence in South - Cheju and Yosu,732,East Asia and Pacific,1948,1950,12725,30000,21362.5,"Between 1948 and 1956, the South Korean government killed tens of thousands of leftist insurgents and suspected communists in Jeju island and the South Jeolla province. On April 3, 1948, a communist uprising flared on Jeju Island off the southern coast of Korea, when a communist guerilla band attacked police stations and killed dozens of policemen.The rebellion was supported by thousands of Jeju civilians who resented upcoming general elections for a separate South Korean government and the recent brutal police crackdowns on Jeju Island. The government sent in the army and rightist paramilitary groups which tortured, raped, and massacred suspected sympathizers and burned whole villages. The government also suppressed the mutiny of soldiers stationed on the southern coast of the Korean peninsula who refused to participate in the clampdown in Jeju. President Syngman Rhee ramped up the repression following the invasion of North Korea on June 25, 1950, ordering detention and summary execution of thousands of suspected leftists. ",Government kills civilians during effort to defeat leftist insurgencies on Cheju Island and other provinces.,suspected supporters of leftist insurgency,Political,Check w/ timeline of N + S Korean split,CSY
Colombia,La Violencia,100,Latin America and Caribbean,1948,1958,50000,150000,100000,"Between 1948 and 1958, the government forces and paramilitaries killed hundreds of thousands of civilians in the rural countryside. On April 9, 1948, the assassination of Liberal politician Jorge Gaitán in broad daylight led to massive riots, killing thousands and destroying downtown Bogotá. The violence sparked a decade long civil war between the Conservative Party and Liberal Party, known as “La Violencia,” fought in the rural countryside by paramilitary forces sponsored by Conservatives and Liberals. During the conflict, millions abandoned their homes, and hundreds of thousands were killed. The government and government sponsored militias killed tens of thousands of suspected supporters of the Liberal party. The victims were mostly poor peasants and laborers who were often tortured and killed in extremely barbaric ways. The civil war ended on August 7, 1958, with the return to power of civilian government.",Government kills civilians during effort to defeat insurgency by supporters of Liberal party.,suspected supporters of liberal party,Political,,CSY
Myanmar (formerly Burma),"Ethnic Separatists - Karens, etc",775,East Asia and Pacific,1948,.,145000,145000,145000,"Since 1948, the Burmese government has killed over a hundred thousand civilians during efforts to defeat several separatist insurgencies. After Burma (today Myanmar) attained independence in 1948, the new government failed to grant promised regional autonomy to ethnic groups in the frontier areas of Burma. Within months of independence, discontented ethnic groups revolted, including the Shan, Mons and the largest ethnic minority Karens. Under the government’s policy of “Burmisation” of ethnic minorities, the Burmese Army (Tatmadaw) brutalized the ethnic minority populations by conducting military assaults on unarmed civilian villages, burning hundreds of villages, raping women, torturing and killing countless civilians of the rebelling regions. Hundreds of thousands of refugees have been displaced across the Thai border. To date, the government has negotiated cease-fire agreements with most of the ethnic groups, including with the Karen National Liberation Army in 2012, but several ethnic insurgencies are ongoing.","Government kills civilians during effort to defeat separatist insurgencies (including Karens, Mon, and Shan)","Karens, Mons, and Shan",Ethnic,Not sure about saying Burma vs. Myanmar + correct country code,CSY
North Korea,Political Repression,731,East Asia and Pacific,1948,.,400000,1500000,950000,"Since 1948, the communist government of the People's Democratic Republic of Korea has killed hundreds of thousands of civilians and suspected political opponents. Since its creation in 1948, the North Korean communist government under the Kim dynasty has created one of the most brutal, repressive states in the world. While there is little available data, political prisons and labor camps with high death rates have killed hundreds of thousands of political opponents, civilians, and their families. The government also carries out public executions to punish citizens for small transgressions. The United Nations Commission of Inquiry on Human Rights has accused North Korea’s government of “crimes against humanity” for using murder, torture, slavery, sexual violence, mass starvation, prison camps, executions, and disappearances to terrorize its people. The repression is ongoing.",Communist government represses suspected political opponents.,suspected political opponents,Political,Check w/ timeline of N + S Korean split,CSY
Indonesia,Darul Islam,850,East Asia and Pacific,1949,1962,1500,4000,2750,"Between 1949 and 1962, the Indonesian central government killed thousands of civilians during effort to defeat the Islamist Darul-Islam insurgency. On August 7, 1949, Soekarmadji Maridjan Kartosoewirjo declared his own Islamic State on West Java, joined by rebellions in Aceh, south Sulawesi and central Jakarta which collectively declared an Islamic State of Indonesia based on Sharia law. Both sides committed atrocities, with rebel leaders killing uncooperative civilians, and the government indiscriminately killing civilians in the region. The thirteen-year rebellion also displaced hundreds of thousands of civilians. The regional rebellion ended with the capture of Kartosoewirjo on 1 August 1962, followed by the surrender of Darul Islam’s leaders in exchange for amnesty.",Government kills civilians during effort to defeat Islamist Darul-Islam insurgency. ,suspected supporters of Darul Islam insurgency,Political and Ethnic,,CSY
China,Communist,710,East Asia and Pacific,1949,1977,31000000,40000000,35500000,"Between 1949 and 1977, the communist overnment under Chairman Mao Zedong killed tens of millions of civilians as a direct result of Mao Zedong’s communist policies and purges. On October 1, 1949, the Chinese Communist Party seized power and established the People's Republic of China. Mao began implementing collectivization, a central part of his utopian socialist vision. During the early land reforms, millions of resistant landlords and peasants were tortured, sent to forced labor colonies, or killed. The land reform was combined with a “campaign against counterrevolutionaries,” which purged suspected former Kuomintang officials from villages and cities. Between 1958 and 1962, Mao pushed for complete collectivization through the radical agrarian policies of “The Great Leap Forward,” which resulted in the most devastating famine in human history. Millions died from starvation, with the death toll also including peasants executed for failing to meet quotas and killed during suppression of widespread peasant revolts. Particular social categories such as landlords, rich peasants, religious leaders, rightists, and their families were targeted for execution or perished in imprisonment. Political purges of suspected dissidents were also constant throughout Mao’s regime, including the most violent purge  “the Cultural Revolution” between 1966 and 1976. Paranoid about bourgeois infiltration of the communist revolution, Mao purged party officials and mobilized the youth in ""Red Guards"" to terrorize suspected political opponents, including suspected revisionist party cadres, intellectuals, and factory bosses. After Mao’s death, the Cultural Revolution formally ended at the Eleventh National Party Congress, held in August, 1977.",Communist government represses suspected political opponents.,suspected political opponents,Political,,CSY
Guatemala, Civil War and repression,90,Latin America and Caribbean,1954,1996,5000,10000,7500,"Between 1954 and 1996, the Guatemalan government killed thousands of civilians during efforts to defeat leftist insurgencies. On June 18, 1954, a US-backed coup led by Colonel Carlos Castillo Armas overthrew the popularly elected reformist, leftist government of President Jacobo Arbenz and reversed land reforms. In the 1960's, continuing social discontent led to the rise of left-wing guerilla fighting the military government. Government violence escalated in the 1970s and 1980s. The government disappeared and executed thousands of suspected leftists and burned and slaughtered entire ethnic Mayan villages suspected of supporting the guerilla. The civil war ended with a peace agreement between the government and the guerrillas in December 1996.",Military-dominated governments initiate series of anti-subversive anti-guerrilla campaigns with indiscriminate use of death squads against suspected leftists and indigenous Mayans. Killings become systematic and widespread after July 1978.  (Harff),"suspected supporters of communist insurgency, Mayans",Political and Ethnic,"Number seems too low. Lowest in the texts seem to be at least Harff’s 60,000.",CSY
North Vietnam, Repression by communist government,816,East Asia and Pacific,1954,1957,32000,50000,41000,"Between 1953 and 1956, the government under the Communist Party of North Vietnam killed tens of thousands during the communist agrarian reform campaign. After North Vietnam gained independence from France on July 22, 1954, the communist Viet Minh carried out a nationwide agrarian land reform which purged tens of thousands of landlords, peasants, and suspected class enemies. Families of victims were also starved to death until the “policy of isolation.” In 1956, the executions increased during the “'rectification of the errors of the land reform campaign.” ",Communist government represses suspected political opponents.,suspected political opponents,Political,Check w/ country code,CSY
South Vietnam,Civil War,816,East Asia and Pacific,1954,1975,150000,300000,225000,"Between 1954 and 1975, the South Vietnamese government killed hundreds of thousands of civilians during efforts against communsit insurgents. Following the Geneva accords which partitioned Vietnam into North and South on July 20, 1954, the French withdrew from Vietnam. Ngo Dinh Diem gained control of South Vietnam and established a pro-US, anticommunist government in Saigon. From 1957, the communist Viet Cong began an armed insurgency against the Saigon government. The South Vietnamese military used indiscriminate force against civilian populations suspected of harboring the communists. The United States supervised efforts to eliminate the political infrastructure of the Viet Cong, particularly through the Phoenix Program, killing tens of thousands of suspected informants and supporters. The civil war ended in 1975 with the fall of Saigon to the Viet Cong.","Government military and paramilitary forces engage in killings, reprisals, and bombardments against villagers supporting Viet Cong. (Harff)",suspected supporters of communist insurgency,Political,Check w/ country code. Unclear who the perpetrator and victims were. There seems to have been perpetrators on all sides as well as the US CIA. ,CSY
China,Tibet,710,East Asia and Pacific,1954,1977,250000,500000,375000,"Between 1954 an 1977, the People’s Republic of China’s government killed hundreds of thousands of Tibetan Buddhists, landowners, suspected supporters of the Tibetan insurgents and supporters of former Chiang Kai-shek regime. The suppression abated at the end of the Cultural Revolution, although government repression continues periodically in response to Tibetan demands for autonomy or independence. ","""Army and security forces suppress counter-revolutionary elements of society, including Tibetan Buddhists, landowners, and supporters of former Chiang Kai-shek regime."" (Harff)",Tibetan Buddhists; suspected supporters of Tibetan insurgents; suspected political opponents,Ethnic and Political,"Extraterritorial? The end date/year is 1977 which is when the Cultural Revolution ended, but violence has continued to this day. Not sure if the numbers include the ""white terror.""",CSY
Sudan,Civil War,625,Sub-Saharan Africa,1955,1972,400000,600000,500000,"Between 1955 and 1972, the Sudanese government killed hundreds of thousands of civilians during efforts to suppress the secessionist movements in the south. The First Sudanese civil war, or Anyanya Rebellion, was a conflict between the Sudanese government dominated by northern Muslim-Arabs  and a secessionist movement in the south. The conflict began on August 18, 1955, with the mutiny of the Sudanese Equatoria Corps, a military unit composed of southerners. Although the mutiny was suppressed, its survivors instigated insurgencies which developed into a southern secessionist movement called the Anyanya. During government efforts to suppress the insurgency, the government used indiscriminate violence against mostly non-Muslim African civilian populations in southern Sudan suspected of supporting the secessionist movement. The conflict ended with the March 1972 peace agreement.","""Government dominated by northern Muslim-Arabs uses indiscriminate violence to suppress mostly non-Muslim Africans who support a secessionist movement in the south."" (Harff)",Southern Sudanese; suspected supporters of Anya Nya rebellion,Ethnic and Political,,CSY
Haiti,Political Repression - Duvalier government,41,Latin America and Caribbean,1958,1986,10000,60000,35000,"Between 1958 and 1986, the Haitian government under the Duvaliers killed tens of thousands of suspected political opponents. In September 1957, François Duvalier, also known as “Papa Doc,” was elected president. However, after an unsuccessful coup to overthrow Duvalier in July 1958, the paranoid Duvalier sacked the armed forces chief of staff, created the elite crops the Presidential Guard and organized a rural paramilitary group known as ""Tonton Macoute"" which terrorized the population. Between 1958 and 1986, under the rule of Duvalier and his son Jean-Claude Duvalier, tens of thousands of political opponents, including suspected communists, were tortured and killed.",Government suppresses political opposition,suspected political opponents,Political,,CSY
Cuba,Castro - political repression,40,Latin America and Caribbean,1959,1970,5000,8335,6667.5,"Between 1959 and 1970, the communist regime under Fidel Castro killed thousands of supporters of the former regime and political opponents. After Cuban President Fulgencio Batista fled Cuba on January 1, 1959, Fidel Castro and his supporters marched into Havana. The government under Castro convicted and executed thousands of Batista-era torturers, policemen, solders, and Batista loyalists under firing squads to cleanse potential political opponents of the new government. ",Political repression by Castro,suspected political opponents,Political,,CSY
Iraq,Mosul Uprising,645,Middle East and North Africa,1959,1959,1000,1000,1000,"In 1959, the Iraqi government killed over a thousand civilians following a failed coup in Mosul by Arab nationalists. In March 1959, a group of Free Officers attempted a coup to overthrow the Prime Minister Abd al-Karim Qasim. Aware of the planned coup, Qasim mobilized communist supporters in Mosul who massacred the rebels and Arab nationalists over the course of four days.",Government and local communist allies kills civilians in Mosul after Nationalist uprising.,suspected political opponents,Political,,CSY
Guinea,Sekou Toure - political repression,438,Sub-Saharan Africa,1960,1980,6000,50000,28000,"Between 1960 and 1980, the communist  government under Ahmed Sekou Touré killed tens of thousands of suspected political opponents. In 1960, the Marxist one-party government under Ahmed Sekou Touré came to power following Guinea’s independence from France. Touré began a reign of terror which repressed the population by imprisoning, torturing and killing tens of thousands of suspected political opponents. The government imprisoned thousands of political opponents in concentration camps where they died from torture or starvation. Nearly a quarter of the population of Guinea also fled into exile.",Government suppresses political opposition,suspected political opponents,Political and Ethnic,,CSY
Laos,Civil War-Communists,812,East Asia and Pacific,1959,1973,30000,90000,60000,"During the Laotian Civil War, the Laos government killed civilians during efforts to defeat the communist insurgency. After the Geneva Accords of 1954 granted Laos full independence from France, Laos was ruled by a coalition government with both rightists and communists. However, when the coalition collapsed, a civil war broke out in 1959 between the US-backed Royalist Lao government and the communist Pathet Lao. During the conflict, the royalist government and US Central Intelligence Agency heavily bombed areas under Pathet Lao control, destroying hundreds of villages and killing civilian populations. The conflict ended when the warring parties signed a peace treaty on February 22, 1973.",Government kills civilians during effort to defeat leftist Pathet Lao insurgency. ,Suspected supporters of Pathet Lao communist insurgency.,Political,Unclear who the perpetrator and victims were. There seems to have been perpetrators on all sides as well as the US CIA. ,CSY
Congo, Kasai,484,Sub-Saharan Africa,1960,1963,5000,5000,5000,"Between 1960 and 1963, the Congolese government killed thousands of cilivans during efforts to suppress the Kasai secessionist movement. The Democratic Republic of Congo gained independence from Belgium on June 30, 1960. A few days later, on August 8, 1960, the South Kasai region seceded from the Republic of the Congo. The central government under Patrice Lumumba sent national troops to crush the secessionist movement and reconquer the region. During the military campaign, the Congolese soldiers indiscriminately massacred civilians of the Luba tribe who lived concentrated in the Kasai region.",Government kills civilians during effort to defeat secessionist movement in Kasai province.,supporters of secessionist movement in Kasai (Luba/Baluba),Ethnic,,CSY
Iraq,Kurds,645,Middle East and North Africa,1961,1991,80000,240000,160000,"Between 1961 and 1991, the Iraqi government killed hundreds of thousands of Kurdish civilians in northern Iraq during efforts to suppress repeated uprisings for Kurdish independence. In September 1961, the Kurdish leader Mustafah Barzani revolted against the Iraqi government to seek Kurdish independence. As part of the Iraqi government’s military campaigns to quell the insurgency, the government bombed Kurdish civilian populations and destroyed entire Kurdish villages. Apart from a brief peace between 1970 and 1974, Kurdish uprisings continued as well as the government repression against the Kurds. The government razed hundreds of Kurdish villages and forcibly deported Kurdish civilians to other parts of the country. In particular, during the Iran-Iraq War, the government launched a campaign called ""Al-Anfal"" to permanently cripple Kurdish resistance through a systematic massacre of Kurds. During the Al-Anfal, thousands of Kurdish villages were razed and tens of thousands Kurds were killed or deported. Repression of the Kurds continued until the US established a no fly zone in Northern Iraq in August 1991.","To suppress repeated rebellions for independent Kurdistan in northern Iraq, government engages in large-scale massacres. (Harff)",Suspected supporters of Kurdish insurgency.,Ethnic,,CSY
Ethiopia, Eritrea Civil War,530,Sub-Saharan Africa,1961,1991,180000,200000,190000,"Between 1961 and 1991, hundreds of thousands of Eritrean civilians were killed during the war between the Ethiopian government and Eritrean separatists. Beginning in 1961, the Eritrean Liberation Front rose up against the Ethiopian government’s annexation of Eritrea. After 1974, when a Marxist coup ousted Emperor Selassie, violence intensified under new strongman Mengistu Haile Mariam who declared a “total war” against the Eritrean separatists. During the government’s counterguerilla offensives, the army and air force indiscriminately massacred and bombed Eritrean civilians. The war ended in 1991 when the Eritrean People’s Liberation Front defeated Ethiopian forces in Eritrea.",Government kills civilians during effort to suppress rebellion by Eritrean separatists.,Suspected supporters of Eritrean secessionist insurgency,Ethnic,,CSY
Algeria, post independence retribution,615,Middle East and North Africa,1962,1962,30000,150000,90000,"In 1962, Algerian militants killed tens of thousands of European and Muslim Algerian civilians who supported the French colonial regime. During the Algerian War of Independence between 1954 and 1962, Muslim Algerians called “harkis” fought on the French side against the Algerian National Liberation Front (FLN). Following Algerian independence from France in March 1962, the harkis and civilian Algerians who collaborated with the French were considered traitors. Tens of thousands of suspected collaborators and their families were rounded up and killed in retribution by the victorious FLN and lynch mobs.","In the wake of independence from France, Algerian militants attack Europeans and Muslim civilians who collaborated with French colonial authorities. (Harff)","Harkis, suspected supporters of French",Political,,CSY
Yemen,,679,Middle East and North Africa,1962,1970,20000,50000,35000,"Between 1962 and 1970, the Yemenese government killed tens of thousands of civilians during the civil war between the new republican government and royalist guerillas. On 19 September 1962, Mohammed Al-Badr succeeded his father the Imam Ahmed bin Yahya as the next Zaidi Imam and political leader of North Yemen. A week later, on 26 September, Al-Badr was overthrown in a coup of pro-Nasser revolutionary forces led by the army which established the Yemen Arab republic. Al-Badr escaped to the northern highlands where he rallied tribes to fight against the republicans. The civil war between the royalist guerillas supported by Saudi Arabia and the republican forces supported by Egypt lasted until the Compromise of 1970 on April 14, 1970. During the war, the Yemenese republican government killed tens of thousands of civilians, in particular during the Egyptian Army's terror bombing of of Yemeni villages in the northern countryside.","Government kills civilians during effort to defeat Royalist insurgency.
",Suspected supporters of Royalist insurgency,Political,"Unclear who the perpetrators are. Right now, it emphasizes the Egyptian Army's bombing. Should I also emphasize the republican government's role or the chemical weapons used?",CSY
Iraq, political repression - Saddam,645,Middle East and North Africa,1963,2003,85000,85000,85000,"Between 1963 and 2003, the Iraqi government under the Ba’athist Party killed tens of thousands of suspected political opponents. After the Iraqi Ba’ath Party overthrew Prime Minister Abd al-Karim Qasim in a 1963 coup, the revolutionary Ba’athist leaders carried out a purge and executed thousands of communists. After internal divisions within the Ba’ath Party, in 1968, Saddam Hussein rose to power after a bloodless coup. In the following years until his deposal in 2003, Saddam Hussein and the Ba’ath Party ordered the execution and forced disappearances of suspected political opponents, including members of the Iraqi communist party and Shiite Muslims. ",Baath government represses political opponents.,suspected political opponents,Political,,CSY
Rwanda,,517,Sub-Saharan Africa,1963,1967,12000,20000,16000,"Between 1963 and 1967, the Hutu-dominated Rwandan government killed over ten thousand civilians in vengeance attacks following cross-border Tutsi incursions. During the years preceding Rwandan independence from Belgium, the previously marginalized  Hutu majority gained control over the new government, which led to the displacement of tens of thousands of the Tutsi minority into neighboring countries. Beginning in 1961, groups of Tutsi refugees raided the border in hopes of regaining control and prompted violent Hutu reprisals against Tutsis. In 1963, in reprisal to the most serious Tutsi incursion from Burundi, the Hutu government launched a massive anti-Tutsi campaign, slaughtering approximately ten thousand Tutsis within Rwanda. Tutsi incursions and government reprisal against Tutsis ended by 1967.",Local Hutu officials orchestrate vengeance attacks against Tutsis following cross-border incursions by Tutsi rebels.  (Harff),suspected supporters of Tutsi insurgents,Ethnic,,CSY
